question,answer,keywords,topic
What is addition?,Addition means putting numbers together to make a bigger number.,addition add plus maths,arithmetic
What is subtraction?,Subtraction means taking away from a number to see what is left.,subtraction subtract minus maths,arithmetic
What is multiplication?,Multiplication is a quick way to add equal groups.,multiplication multiply times maths,arithmetic
What is division?,Division means sharing into equal groups.,division divide sharing maths,arithmetic
What is counting?,Counting means saying numbers in order to find how many there are.,counting count numbers maths,arithmetic
What is a square?,A square is a shape with 4 equal sides ◼️.,square shape sides,geometry
What is a triangle?,A triangle is a shape with 3 sides 🔺.,triangle shape sides,geometry
What is a rectangle?,A rectangle is a shape with 4 sides. Opposite sides are equal ▭.,rectangle shape sides,geometry
What is a circle?,A circle is a round shape with no corners ⚪.,circle round shape,geometry
How many sides does a hexagon have?,A hexagon has 6 sides ⬡.,hexagon sides shape,geometry
What is perimeter?,Perimeter means the distance around a shape 📏.,perimeter shape outside,geometry
What is area?,Area tells how much space is inside a shape ▭.,area inside shape,geometry
What is a fraction?,A fraction shows equal parts of a whole 🍕.,fraction equal parts,fraction
What is half?,Half means dividing something into 2 equal parts ✂️.,half divide equal,fraction
What is a quarter?,A quarter means one out of four equal parts 🍰.,quarter four equal,fraction
What is percentage?,A percentage means parts out of 100 📊.,percentage hundred maths,percentage
What is a square number?,A square number is made by multiplying a number by itself 🔲.,square number powers,powers
What is a square root?,A square root is a number that multiplies by itself to make another number 📐.,square root maths,powers
What is a prime number?,A prime number can only be divided by 1 and itself 🔢.,prime number maths,number theory
What is an even number?,An even number can be divided by 2 with no remainder 2️⃣.,even number divide by 2,number theory
What is an odd number?,An odd number cannot be divided evenly by 2 1️⃣.,odd number maths,number theory
What is time?,Time helps us know when things happen ⏰.,time clock hours,measurement
What is money?,Money is used to buy things 💰.,money coins notes,measurement
What is length?,Length tells how long or short something is 📏.,length measurement size,measurement
What is weight?,Weight tells how heavy or light something is ⚖️.,weight heavy light,measurement
