question,answer,keywords,topic
What is a noun?,A noun is a word for a person, place, thing or idea — like dog, school, happiness! 📝,noun grammar,grammar
What is a verb?,A verb is an action word — like run, eat, jump, think! 🏃,verb action grammar,grammar
What is an adjective?,An adjective describes a noun — like happy dog, blue sky, tall tree! 🎨,adjective describe,grammar
What is a synonym?,A synonym is a word that means almost the same — like big and large! 🔁,synonym same meaning,vocabulary
What is an antonym?,An antonym is a word that means the opposite — like hot and cold! ↔️,antonym opposite,vocabulary
What is a metaphor?,A metaphor compares two things by saying one IS the other — 'time is money'! ⏳,metaphor figurative,literature
What is a simile?,A simile compares two things using 'like' or 'as' — 'as brave as a lion'! 🦁,simile like as,literature
What does the word 'enormous' mean?,'Enormous' means extremely large or huge! 🐘,enormous huge big,vocabulary
What does 'curious' mean?,'Curious' means wanting to learn or know more about something! 🔍,curious wanting know,vocabulary
What does 'brave' mean?,'Brave' means showing courage even when scared! 🦁,brave courage,vocabulary
What is the past tense of run?,The past tense of 'run' is 'ran'. ✅,past tense run ran,grammar
What is the past tense of eat?,The past tense of 'eat' is 'ate'. ✅,past tense eat ate,grammar
What is the plural of mouse?,The plural of mouse is 'mice'! 🐭,plural mouse mice,grammar
What is the plural of child?,The plural of child is 'children'! 👶,plural child children,grammar
How do you spell beautiful?,B-E-A-U-T-I-F-U-L 🌸,spell beautiful,spelling
How do you spell necessary?,N-E-C-E-S-S-A-R-Y ✏️,spell necessary,spelling
What is a sentence?,A sentence is a group of words that expresses a complete thought — it starts with a capital letter and ends with a period! 📖,sentence grammar,grammar
What is a paragraph?,A paragraph is a group of sentences about the same idea! 📄,paragraph writing,writing
Read: 'The cat sat on the mat.' Where did the cat sit?,The cat sat on the mat! 🐈,reading comprehension cat mat,reading
Read: 'Tom went to the park to play football.' What did Tom do?,Tom went to the park to play football! ⚽,reading comprehension tom park,reading
Read: 'It was raining so Mia took an umbrella.' Why did Mia take an umbrella?,Mia took an umbrella because it was raining! ☔,reading comprehension mia umbrella,reading
Read: 'The bee flew from flower to flower collecting nectar.' What was the bee doing?,The bee was collecting nectar by flying from flower to flower! 🐝,reading comprehension bee nectar,reading
Read: 'Lily baked a cake for her mother's birthday.' Who is the cake for?,The cake is for Lily's mother on her birthday! 🎂,reading comprehension lily cake birthday,reading
What is a question mark?,A question mark (?) is the symbol used at the end of a question! ❓,question mark punctuation,punctuation
What is an exclamation mark?,An exclamation mark (!) shows strong feeling or excitement — Wow!,exclamation punctuation,punctuation
